school_code	name	grade_span	subject	grade	type	subgroup	num_tested	num_l1	pct_l1	num_l2	pct_l2	num_l3	pct_l3	num_l4	pct_l4	num_l5	pct_l5	num_ccr	pct_ccr	num_glp	pct_glp	avg_score
140304	Baton Elementary	PK-05	MA	GS	ALL	MALE	104	19	18.3	27	26.0	9	8.7	42	40.4	7	6.7	49	47.1	58	55.8	
140304	Baton Elementary	PK-05	MA	GS	ALL	MALE_WHTE	99	17	17.2	26	26.3	9	9.1	40	40.4	7	7.1	47	47.5	56	56.6	
140304	Baton Elementary	PK-05	MA	GS	ALL	NOT_EDS	79	9	11.4	21	26.6	4	5.1	36	45.6	9	11.4	45	57.0	49	62.0	
140304	Baton Elementary	PK-05	MA	GS	ALL	NOT_LEP	198	31	15.7	59	29.8	11	5.6	81	40.9	16	8.1	97	49.0	108	54.5	
140304	Baton Elementary	PK-05	MA	GS	ALL	NOT_SWD	174	20	11.5	48	27.6	11	6.3	79	45.4	16	9.2	95	54.6	106	60.9	
140304	Baton Elementary	PK-05	MA	GS	ALL	SWD	25	-	-	-	-	-	<5	-	-	-	<5	2	8.0	2	8.0	
140304	Baton Elementary	PK-05	MA	GS	ALL	WHTE	187	28	15.0	55	29.4	11	5.9	77	41.2	16	8.6	93	49.7	104	55.6	
140304	Baton Elementary	PK-05	MA	GS	RG	AIG	23	-	<5	-	<5	-	<5	-	-	-	-	-	>95	-	>95	
140304	Baton Elementary	PK-05	MA	GS	RG	AIG_MATH	17	-	<5	-	<5	-	<5	-	-	-	-	-	>95	-	>95	
140304	Baton Elementary	PK-05	MA	GS	RG	AIG_READ	16	-	<5	-	-	-	<5	-	-	-	-	15	93.8	15	93.8	
140304	Baton Elementary	PK-05	MA	GS	RG	ALL	199	32	16.1	59	29.6	11	5.5	81	40.7	16	8.0	97	48.7	108	54.3	
140304	Baton Elementary	PK-05	MA	GS	RG	EDS	120	23	19.2	38	31.7	7	5.8	45	37.5	7	5.8	52	43.3	59	49.2	
140304	Baton Elementary	PK-05	MA	GS	RG	FEM	95	-	-	-	-	-	<5	-	-	-	-	48	50.5	50	52.6	
140304	Baton Elementary	PK-05	MA	GS	RG	FEM_HISP	6	-	-	-	-	-	<5	-	-	-	<5	2	33.3	2	33.3	
140304	Baton Elementary	PK-05	MA	GS	RG	FEM_WHTE	88	-	-	-	-	-	<5	-	-	-	-	46	52.3	48	54.5	
140304	Baton Elementary	PK-05	MA	GS	RG	HISP	7	-	-	-	-	-	<5	-	-	-	<5	3	42.9	3	42.9	
