year	unit_code	category_cd	avg_daily_attend_pct	crime_per_c_num	short_susp_per_c_num	long_susp_per_c_num	expelled_per_c_num	ttl_crimes_num	stud_internet_comp_num	lea_avg_daily_attend_pct	lea_crime_per_c_num	lea_short_susp_per_c_num	lea_long_susp_per_c_num	lea_expelled_per_c_num	lea_stud_internet_comp_num	st_avg_daily_attend_pct	st_crime_per_c_num	st_short_susp_per_c_num	st_long_susp_per_c_num	st_expelled_per_c_num	st_stud_internet_comp_num	digital_media_pct	Byod	grades_BYOD	avg_age_media_collection	_1_to_1_access	books_per_student	grades_1_to_1_access	lea_avg_age_media_collection	lea_books_per_student	st_avg_age_media_collection	st_books_per_student	wap_num	wap_per_classroom	lea_wap_num	lea_wap_per_classroom	st_wap_num	st_wap_per_classroom
2013	070338	M	0.94	1.41	38.16	0	0		1.36	0.945	1.07	35.07	0	0	1.41	0.949	0.91				1.79																	
2013	070339	H	0.938	2.64	20.67	0	0		0.95	0.946	0.95	29.13	0.05	0.05	1.41	0.949	1.34				1.79																	
2013	070340	I	0.944	1.11	59.44	0	0		0.83	0.948	0.23	21.98	0	0	1.41	0.952	0.33				1.79																	
2013	070342	H	0.948	0.52	39.23	0	0		1.4	0.946	0.95	29.13	0.05	0.05	1.41	0.949	1.34				1.79																	
2013	070LEA	E								0.946	0	8.22	0	0	1.41	0.949	0.22				1.79																	
2013	070LEA	H								0.946	0.95	29.13	0.05	0.05	1.41	0.949	1.34				1.79																	
2013	070LEA	I								0.948	0.23	21.98	0	0	1.41	0.952	0.33				1.79																	
2013	070LEA	M								0.945	1.07	35.07	0	0	1.41	0.949	0.91				1.79																	
2013	070LEA	T								0.943	15.25	301.69	0	0	1.41	0.949	2.36				1.79																	
2013	07A000	I	0.948	0	0	0	0		1.75							0.952	0.33				1.79																	
2013	080311	H	0.983	0	15.65	0	0		0.35	0.948	0.37	61.37	0.12	0	1.02	0.949	1.34				1.79																	
2013	080312	H	0.935	0.57	89.89	0.19	0		0.85	0.948	0.37	61.37	0.12	0	1.02	0.949	1.34				1.79																	
2013	080314	M	0.947	0.31	73.35	0	0		1.08	0.946	0.31	73.35	0	0	1.02	0.949	0.91				1.79																	
2013	080348	E	0.964	0	0.61	0	0		1.72	0.946	0.09	10.37	0	0	1.02	0.949	0.22				1.79																	
2013	080356	E	0.955	0	11.14	0	0		1.25	0.946	0.09	10.37	0	0	1.02	0.949	0.22				1.79																	
2013	080360	E	0.954	0	2.74	0	0		1.29	0.946	0.09	10.37	0	0	1.02	0.949	0.22				1.79																	
2013	080362	E	0.957	0.22	16.96	0	0		1.46	0.946	0.09	10.37	0	0	1.02	0.949	0.22				1.79																	
2013	080700	H	0.958	0	3.01	0	0		1.09	0.948	0.37	61.37	0.12	0	1.02	0.949	1.34				1.79																	
2013	080LEA	E								0.946	0.09	10.37	0	0	1.02	0.949	0.22				1.79																	
2013	080LEA	H								0.948	0.37	61.37	0.12	0	1.02	0.949	1.34				1.79																	
2013	080LEA	M								0.946	0.31	73.35	0	0	1.02	0.949	0.91				1.79																	
2013	080LEA	T								0.945					1.02	0.949	2.36				1.79																	
2013	090304	E	0.956	0	48.53	0	0		1.7	0.937	0	18.92	0	0	1.08	0.949	0.22				1.79																	
2013	090315	M	0.925	0.28	59.61	0	0		1.79	0.935	0.4	47.03	0.4	0	1.08	0.949	0.91				1.79																	
2013	090317	E	0.931	0	29.93	0	0		1.87	0.937	0	18.92	0	0	1.08	0.949	0.22				1.79																	
2013	090318	E	0.936	0	2.71	0	0		1.18	0.937	0	18.92	0	0	1.08	0.949	0.22				1.79																	
2013	090320	M	0.946	0.3	16.07	0	0		1.43	0.935	0.4	47.03	0.4	0	1.08	0.949	0.91				1.79																	
2013	090324	E	0.941	0	5.56	0	0		1.53	0.937	0	18.92	0	0	1.08	0.949	0.22				1.79																	
2013	090328	I	0.939	2.04	20.41	0	0		1.27	0.94	2.04	20.41	0	0	1.08	0.952	0.33				1.79																	
2013	090330	H	0.925	1.07	76.49	0	0		0.67	0.935	1.91	63.93	0.78	0	1.08	0.949	1.34				1.79																	
2013	090332	M	0.931	0.95	45.73	1.42	0		1.4	0.935	0.4	47.03	0.4	0	1.08	0.949	0.91				1.79																	
2013	090333	E	0.943	0	11.25	0	0		1.14	0.937	0	18.92	0	0	1.08	0.949	0.22				1.79																	
2013	090352	E	0.947	0	28.07	0	0		1.56	0.937	0	18.92	0	0	1.08	0.949	0.22				1.79																	
2013	090365	M	0.942	0	63.87	0	0		1.69	0.935	0.4	47.03	0.4	0	1.08	0.949	0.91				1.79																	
2013	090368	H	0.924	2.64	53.1	1.45	0		0.7	0.935	1.91	63.93	0.78	0	1.08	0.949	1.34				1.79																	
2013	090LEA	E								0.937	0	18.92	0	0	1.08	0.949	0.22				1.79																	
2013	090LEA	H								0.935	1.91	63.93	0.78	0	1.08	0.949	1.34				1.79																	
2013	090LEA	I								0.94	2.04	20.41	0	0	1.08	0.952	0.33				1.79																	
2013	090LEA	M								0.935	0.4	47.03	0.4	0	1.08	0.949	0.91				1.79																	
2013	090LEA	T								0.936					1.08	0.949	2.36				1.79																	
2013	100302	E	0.945	0	0.13	0	0		1.97	0.938	0	5.34	0	0	1.83	0.949	0.22				1.79																	
2013	100304	E	0.936	0	4.98	0	0		1.99	0.938	0	5.34	0	0	1.83	0.949	0.22				1.79																	
2013	100307	H	0.975	0.31	0.92	0	0		1.05	0.939	2.17	18.2	0	0	1.83	0.949	1.34				1.79																	
2013	100308	T	0.846	0	76.22	0.7	0		0.35	0.936	0	76.22	0.7	0	1.83	0.949	2.36				1.79																	
2013	100309	M	0.936	0	19.18	0	0		1.45	0.939	0.26	21.62	0.26	0	1.83	0.949	0.91				1.79																	
2013	100310	E	0.948	0	5.25	0	0		1.68	0.938	0	5.34	0	0	1.83	0.949	0.22				1.79																	
2013	100316	M	0.937	0.65	34.41	0.13	0		2.58	0.939	0.26	21.62	0.26	0	1.83	0.949	0.91				1.79																	
2013	100320	E	0.94	0	14.43	0	0		1.47	0.938	0	5.34	0	0	1.83	0.949	0.22				1.79																	
2013	100326	H	0.94	1.49	25.08	0	0		1.5	0.939	2.17	18.2	0	0	1.83	0.949	1.34				1.79																	
2013	100332	M	0.947	0.33	11.57	0	0		2.55	0.939	0.26	21.62	0.26	0	1.83	0.949	0.91				1.79																	
2013	100334	H	0.929	2.68	11.22	0	0		1.81	0.939	2.17	18.2	0	0	1.83	0.949	1.34				1.79																	
2013	100335	M	0.945	0	18.36	0.74	0		2.13	0.939	0.26	21.62	0.26	0	1.83	0.949	0.91				1.79																	
2013	100336	E	0.944	0	9.6	0	0		2.54	0.938	0	5.34	0	0	1.83	0.949	0.22				1.79																	
2013	100338	E	0.947	0	0.29	0	0		2.81	0.938	0	5.34	0	0	1.83	0.949	0.22				1.79																	
2013	100339	E	0.94	0	8.09	0	0		1.91	0.938	0	5.34	0	0	1.83	0.949	0.22				1.79																	
