year	unit_code	szip_ad	type_cd	closed_ind	new_ind	category_cd	grade_range_cd	calendar_type_txt	sna_pgm_type_cd	school_type_txt	calendar_only_txt	title1_type_cd	clp_ind	focus_clp_ind	summer_program_ind	asm_no_spg_ind	no_data_spg_ind	esea_status	student_num	lea_avg_student_num	st_avg_student_num	Grad_project_status	stem
2016	410394	27408	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								1689	812	860	N	
2016	410395	27410	P	0	0	H	9-12	Regular School, Year-Round Calendar	Y	Regular School	Year-Round Calendar								196	812	860	N	
2016	410396	27405	P	0	0	M	6-8	Alternative Education, Traditional Calendar	A	Alternative Education	Traditional Calendar	Y				Y			98	681	634		
2016	410397	27410	P	0	0	M	6-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							645	681	634		
2016	410398	27410	P	0	0	A	3-12	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar	Y						P	285	140	511	N	
2016	410399	27405	P	0	0	H	9-13	Magnet School, Year-Round Calendar	N	Magnet School	Year-Round Calendar								120	812	860	N	
2016	410400	27410	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							589	472	493		
2016	410401	27282	P	0	0	H	9-13	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								176	812	860	N	
2016	410402	27401	P	0	0	M	6-8	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar	Y							660	681	634		
2016	410403	27401	P	0	0	E	PK-5	Magnet School, Year-Round Calendar	N	Magnet School	Year-Round Calendar	Y							300	472	493		
2016	410406	27262	P	0	0	H	9-12	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar	Y							1402	812	860	N	
2016	410407	27262	P	0	0	H	9-12	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar								141	812	860	N	
2016	410408	27260	P	0	0	H	9-13	Regular School, Year-Round Calendar	Y	Regular School	Year-Round Calendar	Y							121	812	860	N	
2016	410409	27407	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							468	472	493		
2016	410412	27408	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y						F	626	472	493		
2016	410415	27403	P	0	0	M	6-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							497	681	634		
2016	410418	27282	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							408	472	493		
2016	410421	27282	P	0	0	M	6-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								1035	681	634		
2016	410423	27410	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							624	472	493		
2016	410424	27455	P	0	0	E	K-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								490	472	493		
2016	410427	27262	P	0	0	I	K-8	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar	Y							441	395	475		
2016	410430	27406	P	0	0	E	PK-5	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar	Y							676	472	493		
2016	410436	27408	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							286	472	493		
2016	410437	27410	P	0	0	M	6-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								753	681	634		
2016	410439	27262	P	0	0	E	PK-5	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar	Y							289	472	493		
2016	410442	27408	P	0	0	M	6-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							757	681	634		
2016	410448	27401	P	0	0	I	4-8	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar								676	395	475		
2016	410451	27403	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							491	472	493		
2016	410454	27301	P	0	0	E	K-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							224	472	493		
2016	410457	27405	P	1	0	I	PK-8	Special Education, Traditional Calendar	S	Special Education	Traditional Calendar					Y			67	395	475		
2016	410458	27282	P	0	0	H	8-12	Special Education, Traditional Calendar	S	Special Education	Traditional Calendar					Y			77	812	860	N	
2016	410460	27249	P	0	0	M	6-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							887	681	634		
2016	410461	27301	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							369	472	493		
2016	410462	27214	P	0	0	E	K-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							581	472	493		
2016	410463	27408	P	0	0	M	6-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								731	681	634		
2016	410464	27282	P	1	0	A	PK-12	Special Education, Traditional Calendar	S	Special Education	Traditional Calendar					Y			76	140	511	N	
2016	410466	27282	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								477	472	493		
2016	410469	27262	P	0	0	E	PK-5	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar	Y							669	472	493		
2016	410472	27410	P	0	0	E	K-5	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar	Y							621	472	493		
2016	410478	27403	P	0	0	E	PK-5	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar	Y							314	472	493		
2016	410481	27298	P	0	0	E	K-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								253	472	493		
2016	410483	27411	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								112	812	860	N	
2016	410484	27301	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								1031	812	860	N	
2016	410486	27455	P	0	0	E	K-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								599	472	493		
2016	410487	27301	P	0	0	M	6-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							731	681	634		
2016	410488	27455	P	0	0	M	6-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								863	681	634		
2016	410489	27455	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								1340	812	860	N	
