"LEACODE"	"LEANAME"	"SCHOOLCODE"	"SCHOOLNAME"	"CHARTERSchool"	"GRADESPAN"	"RESIDENTCHILDREN"	"IDENTIFIEDSTUDENTS"	"MULTIPLIER"	"LOWINCOMESTUDENTS"	"Percent"	"SCHOOLSERVED"	"ELIGIBILITYMODEL"	"ELIGIBILITYJUSTIFICATION"	"PROGRAMJUSTIFICATION"	"SERVEDTASCOUNT"	"SERVEDTASGRADE"	"SERVED1STYEAR"	"YEAR"	"COMMUNITYELIGIBILITY"
100	Brunswick County	100304	Bolivia Elementary	N	0K,01,02,03,04,05	515	N/A	N/A	343	66.60	Y	SW-SW					2005-2006	2015-2016	N
340	Forsyth County	340314	Bolton Elementary	N	PK,0K,01,02,03,04,05	508	295	1.6	472	92.91	Y	SW-SW					2005-2006	2015-2016	Y
190	Chatham County	190308	Bonlee School	N	0K,01,02,03,04,05,06,07,08	324	N/A	N/A	195	60.19	Y	SW-SW					2012-2013	2015-2016	N
970	Wilkes County	970308	Boomer-Ferguson Elementary	N	PK,0K,01,02,03,04,05	159	N/A	N/A	97	61.01	Y	SW-SW					2006-2007	2015-2016	Y
430	Harnett County	430316	Boone Trail Elementary	N	PK,0K,01,02,03,04,05	957	N/A	N/A	586	61.23	Y	SW-SW					2005-2006	2015-2016	N
990	Yadkin County	990304	Boonville Elementary	N	PK,0K,01,02,03,04,05,06,07,08,09,10,11,12	307	N/A	N/A	196	63.84	Y	SW-SW					2006-2007	2015-2016	N
800	Rowan County	800312	Bostian Elementary	N	0K,01,02,03,04,05	329	N/A	N/A	149	45.29	Y	SW-SW					2006-2007	2015-2016	N
610	Mitchell County	610302	Bowman Middle	N	05,06,07,08	240	N/A	N/A	128	53.33	Y	SW-SW					2006-2007	2015-2016	N
60S	Bradford Preparatory School	60S000	Bradford Preparatory School	Y	0K,01,02,03,04,05,06,07,08,09	465	N/A	N/A	75	16.13	N	Not Title I						2015-2016	N
650	New Hanover County	650304	Bradley Creek Elementary	N	0K,01,02,03,04,05	447	179	1.6	286	63.98	Y	SW-SW					2006-2007	2015-2016	Y
530	Lee County	530306	Bragg Street Academy	N	06,07,08,09,10,11,12	77	N/A	N/A	60	77.92	N	SW						2015-2016	N
920	Wake County	920334	Brassfield Elementary	N	0K,01,02,03,04,05	786	N/A	N/A	114	14.50	N	Not Title I						2015-2016	N
490	Iredell County	490308	Brawley Middle	N	06,07,08	750	N/A	N/A	99	13.20	N	Not Title I						2015-2016	N
760	Randolph County	760308	Braxton Craven Middle	N	06	405	N/A	N/A	193	47.65	N	SW						2015-2016	N
260	Cumberland County	260320	Brentwood Elementary	N	PK,0K,01,02,03,04,05	526	376	1.6	526	100.00	Y	SW-SW					2006-2007	2015-2016	Y
920	Wake County	920336	Brentwood Elementary	N	PK,0K,01,02,03,04,05	468	N/A	N/A	370	79.06	Y	SW-SW					2005-2006	2015-2016	N
88A	Brevard Academy	88A000	Brevard Academy	Y	0K,01,02,03,04,05,06,07,08	289	N/A	N/A	175	60.55	N	SW						2015-2016	N
880	Transylvania County	880304	Brevard Elementary	N	PK,0K,01,02,03,04,05	521	N/A	N/A	336	64.49	Y	SW-SW					2006-2007	2015-2016	N
880	Transylvania County	880308	Brevard High	N	09,10,11,12	719	N/A	N/A	296	41.17	N	SW						2015-2016	N
880	Transylvania County	880312	Brevard Middle	N	06,07,08	543	N/A	N/A	296	54.51	N	SW						2015-2016	N
920	Wake County	920340	Briarcliff Elementary	N	PK,0K,01,02,03,04,05	645	N/A	N/A	305	47.29	Y	SW-SW					2006-2007	2015-2016	N
600	Mecklenburg County	600329	Briarwood Elementary	N	PK,0K,01,02,03,04,05	792	N/A	N/A	554	69.95	Y	SW-SW					2004-2005	2015-2016	Y
97D	Bridges Academy	97D000	Bridges Academy	Y	0K,01,02,03,04,05,06,07,08	158	90	1.6	144	91.14	Y	SW-SW					2010-2011	2015-2016	Y
160	Carteret County	160309	Bridges School	N	0K,01,02,03,04,05,06,07,08,09,10,11,12	34	N/A	N/A	28	82.35	Y	SW-SW					2014-2015	2015-2016	N
250	Craven County	250308	Bridgeton Elementary	N	PK,0K,01,02,03,04,05	474	N/A	N/A	311	65.61	Y	SW-SW					2006-2007	2015-2016	N
290	Davidson County	290302	Brier Creek Elementary	N	PK,0K,01,02,03,04,05	315	N/A	N/A	177	56.19	Y	SW-SW					2001-2002	2015-2016	N
920	Wake County	920342	Brier Creek Elementary	N	PK,0K,01,02,03,04,05	997	N/A	N/A	266	26.68	N	Not Title I						2015-2016	N
410	Guilford County	410334	Brightwood Elementary	N	PK,0K,01,02,03,04,05	614	N/A	N/A	398	64.82	Y	SW-SW					2006-2007	2015-2016	Y
250	Craven County	250312	Brinson Memorial Elementary	N	0K,01,02,03,04,05	647	N/A	N/A	270	41.73	Y	SW-SW					2006-2007	2015-2016	N
160	Carteret County	160311	Broad Creek Middle	N	06,07,08	666	N/A	N/A	209	31.38	N	Not Title I						2015-2016	N
010	Alamance-Burlington	010310	Broadview Middle	N	06,07,08	826	480	1.6	768	92.98	Y	SW-SW					2006-2007	2015-2016	Y
530	Lee County	530308	Broadway Elementary	N	0K,01,02,03,04,05	588	N/A	N/A	457	77.72	Y	SW-SW					2006-2007	2015-2016	N
320	Durham Public	320306	Brogden Middle	N	06,07,08	648	N/A	N/A	488	75.31	Y	SW-SW					2015-2016	2015-2016	N
960	Wayne County	960312	Brogden Middle	N	05,06,07,08	525	338	1.6	525	100.00	Y	SW-SW					2002-2003	2015-2016	Y
960	Wayne County	960314	Brogden Primary	N	PK,0K,01,02,03,04	845	614	1.6	845	100.00	Y	SW-SW					2003-2004	2015-2016	Y
920	Wake County	920344	Brooks Elementary	N	PK,0K,01,02,03,04,05	591	N/A	N/A	172	29.10	N	Not Title I						2015-2016	N
410	Guilford County	410337	Brooks Global Elementary	N	0K,01,02,03,04,05	400	N/A	N/A	95	23.75	N	Not Title I						2015-2016	N
360	Gaston County	360340	Brookside Elementary	N	PK,0K,01,02,03,04,05	554	308	1.6	493	88.99	Y	SW-SW					2006-2007	2015-2016	Y
410	Guilford County	410341	Brown Summit Middle	N	06,07,08	236	N/A	N/A	13	5.51	N	Not Title I						2015-2016	N
450	Henderson County	450306	Bruce Drysdale Elementary	N	0K,01,02,03,04,05	476	N/A	N/A	385	80.88	Y	SW-SW					2006-2007	2015-2016	N
862	Mount Airy City	862308	Bruce H Tharrington Elem	N	PK,0K,01,02	396	N/A	N/A	281	70.96	Y	SW-SW					2004-2005	2015-2016	N
600	Mecklenburg County	600489	Bruns Academy	N	PK,0K,01,02,03,04,05,06,07,08	832	N/A	N/A	698	83.89	Y	SW-SW					2006-2007	2015-2016	Y
340	Forsyth County	340320	Brunson Elementary	N	PK,0K,01,02,03,04,05	650	266	1.6	426	65.54	Y	SW-SW					2014-2015	2015-2016	N
100	Brunswick County	100308	Brunswick County Academy	N	06,07,08,09,10,11,12	145	N/A	N/A	118	81.38	N	SW						2015-2016	N
100	Brunswick County	100307	Brunswick County Early College	N	09,10,11,12,13	333	N/A	N/A	139	41.74	N	SW						2015-2016	N
570	Madison County	570306	Brush Creek Elementary	N	0K,01,02,03,04,05	387	N/A	N/A	246	63.57	Y	SW-SW					2006-2007	2015-2016	N
530	Lee County	530302	BT Bullock Elementary 	N	0K,01,02,03,04,05	694	N/A	N/A	547	78.82	Y	SW-SW					2006-2007	2015-2016	N
370	Gates County	370304	Buckland Elementary	N	0K,01,02,03,04,05	217	N/A	N/A	126	58.06	Y	SW-SW					2006-2007	2015-2016	N
920	Wake County	920352	Bugg Elementary	N	PK,0K,01,02,03,04,05	588	N/A	N/A	405	68.88	Y	SW-SW					2006-2007	2015-2016	N
430	Harnett County	430320	Buies Creek Elementary	N	0K,01,02,03,04,05	311	N/A	N/A	137	44.05	Y	SW-SW					2006-2007	2015-2016	N
180	Catawba County	180320	Bunker Hill High	N	09,10,11,12	895	N/A	N/A	505	56.42	N	SW						2015-2016	N
350	Franklin County	350304	Bunn Elementary	N	PK,0K,01,02,03,04,05	674	286	1.6	458	67.95	Y	SW-SW					2006-2007	2015-2016	Y
350	Franklin County	350308	Bunn High	N	09,10,11,12	840	307	1.6	491	58.45	N	SW						2015-2016	N
350	Franklin County	350310	Bunn Middle	N	06,07,08	701	258	1.6	413	58.92	Y	SW-SW					2015-2016	2015-2016	N
710	Pender County	710312	Burgaw Elementary	N	PK,0K,01,02,03,04,05	449	N/A	N/A	404	89.98	Y	SW-SW					2006-2007	2015-2016	N
710	Pender County	710316	Burgaw Middle	N	06,07,08	264	N/A	N/A	216	81.82	Y	SW-SW					2006-2007	2015-2016	N
120	Burke County	120310	Burke Middle College	N	11,12	118	16	1.6	26	22.03	N	Not Title I						2015-2016	N
230	Cleveland County	230312	Burns High	N	09,10,11,12	883	N/A	N/A	480	54.36	N	SW						2015-2016	N
230	Cleveland County	230316	Burns Middle	N	06,07,08	810	N/A	N/A	530	65.43	N	SW						2015-2016	N
995	Yancey County	995312	Burnsville Elementary	N	0K,01,02,03,04,05	377	N/A	N/A	256	67.90	Y	SW-SW					2006-2007	2015-2016	N
320	Durham Public	320308	Burton Elementary	N	PK,0K,01,02,03,04,05	364	N/A	N/A	323	88.74	Y	SW-SW					2002-2003	2015-2016	N
821	Clinton City	821304	Butler Avenue Elementary	N	02,03	508	N/A	N/A	393	77.36	Y	SW-SW					2002-2003	2015-2016	N
600	Mecklenburg County	600361	Butler High	N	09,10,11,12	2046	N/A	N/A	467	22.83	N	Not Title I						2015-2016	N
390	Granville County	390311	Butner-Stem Elementary	N	PK,0K,01,02,03,04,05	498	N/A	N/A	362	72.69	Y	SW-SW					2006-2007	2015-2016	N
390	Granville County	390309	Butner-Stem Middle	N	06,07,08	411	N/A	N/A	285	69.34	Y	SW-SW					2015-2016	2015-2016	N
970	Wilkes County	970310	C B Eller Elementary	N	PK,0K,01,02,03,04,05	284	N/A	N/A	125	44.01	Y	SW-SW					2006-2007	2015-2016	Y
130	Cabarrus County	130318	C C Griffin Middle	N	06,07,08	1085	N/A	N/A	677	62.40	N	SW						2015-2016	N
320	Durham Public	320374	C C Spaulding Elementary	N	PK,0K,01,02,03,04,05	275	201	1.6	275	100.00	Y	SW-SW					2006-2007	2015-2016	Y
970	Wilkes County	970312	C C Wright Elementary	N	PK,0K,01,02,03,04,05	444	N/A	N/A	239	53.83	Y	SW-SW					2006-2007	2015-2016	Y
320	Durham Public	320312	C E Jordan High	N	09,10,11,12	1889	N/A	N/A	775	41.03	N	SW						2015-2016	N
410	Guilford County	410458	C Joyner Greene Education Center	N	08,09,10,11,12	74	N/A	N/A	39	52.70	N	SW						2015-2016	Y
740	Pitt County	740324	C M Eppes Middle	N	06,07,08	577	N/A	N/A	451	78.16	Y	SW-SW					2014-2015	2015-2016	N
260	Cumberland County	260342	C Wayne Collier Elementary	N	PK,0K,01,02,03,04,05	563	N/A	N/A	369	65.54	Y	SW-SW					2005-2006	2015-2016	N
390	Granville County	390312	C. G. Credle Elementary	N	PK,0K,01,02,03,04,05	462	N/A	N/A	372	80.52	Y	SW-SW					2006-2007	2015-2016	N
13B	Cabarrus Charter Academy	13B000	Cabarrus Charter Academy	Y	0K,01,02,03,04,05,06,07,08	1145	N/A	N/A	161	14.06	Y	TAS-SW	Charter School	Always SW			2014-2015	2015-2016	N
130	Cabarrus County	130317	Cabarrus Co Opportunity School	N	06,07,08,09,10,11,12	126	N/A	N/A	95	75.40	N	SW						2015-2016	N
130	Cabarrus County	130350	Cabarrus-Kannapolis Early Coll	N	09,10,11,12,13	217	N/A	N/A	95	43.78	N	SW						2015-2016	N
140	Caldwell County	140305	Caldwell Career Cen Mid. Coll.	N	09,10,11,12	235	48	1.6	77	32.77	N	Not Title I						2015-2016	N
140	Caldwell County	140309	Caldwell Early College	N	09,10,11,12,13	380	65	1.6	104	27.37	N	Not Title I						2015-2016	N
340	Forsyth County	340326	Caleb's Creek Elementary	N	PK,0K,01,02,03,04,05	847	207	1.6	331	39.08	N	TAS						2015-2016	N
150	Camden County	150304	Camden County High	N	09,10,11,12	426	N/A	N/A	114	26.76	N	Not Title I						2015-2016	N
150	Camden County	150310	Camden Intermediate	N	04,05,06	434	N/A	N/A	145	33.41	N	Not Title I						2015-2016	N
150	Camden County	150312	Camden Middle	N	07,08	295	N/A	N/A	96	32.54	N	Not Title I						2015-2016	N
630	Moore County	630312	Cameron Elementary	N	0K,01,02,03,04,05	264	N/A	N/A	171	64.77	Y	SW-SW					2005-2006	2015-2016	N
680	Orange County	680308	Cameron Park Elementary	N	PK,0K,01,02,03,04,05	616	N/A	N/A	234	37.99	N	TAS						2015-2016	N
150	Camden County	150700	CamTech High	N	09,10,11,12	146	N/A	N/A	42	28.77	N	Not Title I						2015-2016	N
110	Buncombe County	110324	Candler Elementary	N	0K,01,02,03,04,05	593	N/A	N/A	394	66.44	Y	SW-SW					2006-2007	2015-2016	N
620	Montgomery County	620312	Candor Elementary	N	PK,0K,01,02,03,04,05	362	N/A	N/A	334	92.27	Y	SW-SW					2005-2006	2015-2016	N
110	Buncombe County	110326	Cane Creek Middle	N	06,07,08	663	N/A	N/A	263	39.67	N	TAS						2015-2016	N
995	Yancey County	995316	Cane River Middle	N	06,07,08	248	N/A	N/A	153	61.69	Y	SW-SW					2006-2007	2015-2016	N
440	Haywood County	440320	Canton Middle	N	06,07,08	571	N/A	N/A	308	53.94	N	SW						2015-2016	N
65A	Cape Fear Center for Inquiry	65A000	Cape Fear Center for Inquiry	Y	0K,01,02,03,04,05,06,07,08	408	N/A	N/A	93	22.79	N	Not Title I						2015-2016	N
710	Pender County	710318	Cape Fear Elementary	N	0K,01,02,03,04,05	472	N/A	N/A	331	70.13	Y	SW-SW					2006-2007	2015-2016	N
260	Cumberland County	260325	Cape Fear High	N	09,10,11,12	1543	N/A	N/A	684	44.33	N	SW						2015-2016	N
710	Pender County	710320	Cape Fear Middle	N	06,07,08	523	N/A	N/A	355	67.88	Y	SW-SW					2002-2003	2015-2016	N
280	Dare County	280302	Cape Hatteras Elementary School	N	PK,0K,01,02,03,04,05	297	N/A	N/A	162	54.55	Y	SW-SW					2006-2007	2015-2016	N
280	Dare County	280304	Cape Hatteras Secondary School	N	06,07,08,09,10,11,12	297	N/A	N/A	177	59.60	N	SW						2015-2016	N
92W	Cardinal Charter	92W000	Cardinal Charter	Y	0K,01,02,03,04,05,06,07	903	N/A	N/A	96	10.63	Y	TAS-TAS	Charter School		96	0K,01,02,03,04,05,06	2015-2016	2015-2016	Y
490	Iredell County	490310	Career Academy and Technical School	N	06,07,08,09,10,11,12	51	N/A	N/A	0	0.00	N	Not Title I						2015-2016	N
340	Forsyth County	340332	Career Center	N	09,10,11,12	0	0	1.6	0	0.00	N	Not Title I						2015-2016	N
650	New Hanover County	650355	Career Readiness Academy at Mosley PLC	N	09,10,11,12	52	32	1.6	51	98.08	N	SW						2015-2016	Y
010	Alamance-Burlington	010311	Career Technical Education Center	N	09,10,11,12	0	N/A	N/A	0	0.00	N	Not Title I						2015-2016	N
130	Cabarrus County	130321	Carl A Furr Elementary	N	PK,0K,01,02,03,04,05	774	N/A	N/A	415	53.62	Y	SW-SW					2012-2013	2015-2016	N
600	Mecklenburg County	600333	Carmel Middle	N	06,07,08	1029	N/A	N/A	254	24.68	N	Not Title I						2015-2016	N
920	Wake County	920356	Carnage Middle	N	06,07,08	1155	N/A	N/A	426	36.88	N	TAS						2015-2016	N
650	New Hanover County	650308	Carolina Beach Elementary	N	0K,01,02,03,04,05	448	101	1.6	162	36.16	N	TAS						2015-2016	N
670	Onslow County	670310	Carolina Forest Elementary	N	0K,01,02,03,04,05	1059	N/A	N/A	373	35.22	Y	TAS-SW		Waiver Provided			2014-2015	2015-2016	N
13A	Carolina International School	13A000	Carolina International School	Y	0K,01,02,03,04,05,06,07,08,09,10,11,12	775	N/A	N/A	178	22.97	N	Not Title I						2015-2016	N
920	Wake County	920358	Carpenter Elementary	N	PK,0K,01,02,03,04,05	773	N/A	N/A	178	23.03	N	Not Title I						2015-2016	N
360	Gaston County	360344	Carr Elementary	N	PK,0K,01,02,03,04,05	653	388	1.6	621	95.10	Y	SW-SW					2006-2007	2015-2016	Y
681	Chapel Hill-Carrboro	681304	Carrboro Elementary	N	PK,0K,01,02,03,04,05	570	N/A	N/A	184	32.28	Y	TAS-TAS	125% Rule		75	01,02,03,04,05	2004-2005	2015-2016	N
681	Chapel Hill-Carrboro	681305	Carrboro High	N	09,10,11,12	901	N/A	N/A	157	17.43	N	Not Title I						2015-2016	N
920	Wake County	920360	Carroll Middle	N	06,07,08	932	N/A	N/A	499	53.54	N	SW						2015-2016	N
800	Rowan County	800361	Carson High	N	09,10,11,12	1188	N/A	N/A	493	41.50	N	SW						2015-2016	N
32C	Carter Community Charter	32C000	Carter Community Charter	Y	0K,01,02,03,04,05,06,07,08	277	N/A	N/A	277	100.00	Y	SW-SW					2001-2002	2015-2016	N
34D	Carter G Woodson School	34D000	Carter G Woodson School	Y	0K,01,02,03,04,05,06,07,08,09,10,11,12	505	371	1.6	505	100.00	Y	SW-SW					2006-2007	2015-2016	Y
340	Forsyth County	340336	Carter High School	N	09,10,11,12	173	47	1.6	75	43.35	N	SW						2015-2016	N
630	Moore County	630316	Carthage Elementary	N	PK,0K,01,02,03,04,05	402	N/A	N/A	237	58.96	Y	SW-SW					2006-2007	2015-2016	N
560	Macon County	560304	Cartoogechaye Elementary	N	PK,0K,01,02,03,04	350	N/A	N/A	213	60.86	Y	SW-SW					2006-2007	2015-2016	N
910	Vance County	910308	Carver Elementary	N	PK,0K,01,02,03,04,05	195	N/A	N/A	122	62.56	Y	SW-SW					2006-2007	2015-2016	Y
920	Wake County	920362	Carver Elementary	N	PK,0K,01,02,03,04,05	487	N/A	N/A	317	65.09	Y	SW-SW					2006-2007	2015-2016	N
960	Wayne County	960316	Carver Elementary	N	PK,0K,01,02,03,04	601	406	1.6	601	100.00	Y	SW-SW					2002-2003	2015-2016	Y
960	Wayne County	960318	Carver Heights Elementary	N	0K,01,02,03,04	312	275	1.6	312	100.00	Y	SW-SW					2004-2005	2015-2016	Y
340	Forsyth County	340330	Carver High	N	09,10,11,12	627	435	1.6	627	100.00	Y	SW-SW					2009-2010	2015-2016	Y
830	Scotland County	830304	Carver Middle	N	06,07,08	636	N/A	N/A	350	55.03	Y	SW-SW					2006-2007	2015-2016	Y
920	Wake County	920364	Cary Elementary	N	PK,0K,01,02,03,04,05	570	N/A	N/A	259	45.44	Y	SW-SW					2010-2011	2015-2016	N
920	Wake County	920368	Cary High	N	09,10,11,12	2399	N/A	N/A	798	33.26	N	Not Title I						2015-2016	N
92R	Casa Esperanza Montessori Charter School	92R000	Casa Esperanza Montessori Charter School	Y	PK,0K,01,02,03,04,05,06,07,08	431	N/A	N/A	104	24.13	Y	TAS-TAS	Charter School		30	0K,01	2006-2007	2015-2016	N
230	Cleveland County	230320	Casar Elementary	N	PK,0K,01,02,03,04,05	276	N/A	N/A	179	64.86	Y	SW-SW					2006-2007	2015-2016	N
340	Forsyth County	340334	Cash Elementary	N	PK,0K,01,02,03,04,05	663	184	1.6	294	44.34	N	SW						2015-2016	N
650	New Hanover County	650309	Castle Hayne Elementary	N	PK,0K,01,02,03,04,05	528	239	1.6	382	72.35	Y	SW-SW					2009-2010	2015-2016	Y
180	Catawba County	180324	Catawba Elementary School	N	PK,0K,01,02,03,04,05,06	474	N/A	N/A	306	64.56	Y	SW-SW					2009-2010	2015-2016	N
360	Gaston County	360348	Catawba Heights Elementary	N	PK,0K,01,02,03,04,05	337	N/A	N/A	226	67.06	Y	SW-SW					2012-2013	2015-2016	N
180	Catawba County	180323	Catawba Rosenwald Education Center	N	0K,01,02,03,04,05,06,07,08,09,10,11,12	51	N/A	N/A	38	74.51	N	SW						2015-2016	N
550	Lincoln County	550314	Catawba Springs Elementary	N	PK,0K,01,02,03,04,05	528	99	1.6	158	29.92	N	Not Title I						2015-2016	N
600	Mecklenburg County	600334	Cato Middle College High	N	11,12	158	N/A	N/A	36	22.78	N	Not Title I						2015-2016	N
240	Columbus County	240373	CCCA - Fair Bluff /Southeastern Campuses	N	09,10,11,12,13	274	99	1.6	158	57.66	N	SW						2015-2016	N
410	Guilford County	410349	Ceasar Cone Elementary	N	PK,0K,01,02,03,04,05	489	N/A	N/A	412	84.25	Y	SW-SW					2006-2007	2015-2016	Y
350	Franklin County	350312	Cedar Creek Middle	N	06,07,08	612	176	1.6	282	46.08	Y	SW-SW					2015-2016	2015-2016	N
920	Wake County	920369	Cedar Fork Elementary	N	PK,0K,01,02,03,04,05	986	N/A	N/A	99	10.04	N	Not Title I						2015-2016	N
640	Nash-Rocky Mount	640316	Cedar Grove Elementary	N	PK,0K,01,02,03,04,05	213	213	1.6	213	100.00	Y	SW-SW					2006-2007	2015-2016	Y
100	Brunswick County	100309	Cedar Grove Middle	N	06,07,08	483	N/A	N/A	339	70.19	Y	SW-SW					2009-2010	2015-2016	N
860	Surry County	860302	Cedar Ridge Elementary	N	PK,0K,01,02,03,04,05	371	N/A	N/A	269	72.51	Y	SW-SW					2006-2007	2015-2016	N
680	Orange County	680310	Cedar Ridge High	N	09,10,11,12	1215	N/A	N/A	340	27.98	N	Not Title I						2015-2016	N
490	Iredell County	490312	Celeste Henkel Elementary	N	PK,0K,01,02,03,04,05	579	N/A	N/A	368	63.56	Y	SW-SW					2005-2006	2015-2016	N
920	Wake County	920370	Centennial Campus Middle	N	06,07,08	603	N/A	N/A	255	42.29	N	SW						2015-2016	N
390	Granville County	390314	Center For Innovative Learning	N	0K,01,02,03,04,05,06,07,08,09,10,11,12	35	N/A	N/A	35	100.00	Y	SW-SW					2013-2014	2015-2016	N
900	Union County	900366	Central Academy of Technology & Arts	N	09,10,11,12	784	N/A	N/A	175	22.32	N	Not Title I						2015-2016	N
130	Cabarrus County	130310	Central Cabarrus High	N	09,10,11,12	1387	N/A	N/A	690	49.75	N	SW						2015-2016	N
290	Davidson County	290308	Central Davidson High	N	09,10,11,12	725	N/A	N/A	338	46.62	N	SW						2015-2016	N
290	Davidson County	290309	Central Davidson Middle	N	06,07,08	818	N/A	N/A	454	55.50	Y	SW-SW					2014-2015	2015-2016	N
300	Davie County	300306	Central Davie Academy	N	06,07,08,09,10,11,12	19	N/A	N/A	15	78.95	Y	SW-SW					2015-2016	2015-2016	Y
270	Currituck County	270304	Central Elementary	N	PK,0K,01,02,03,04,05	206	N/A	N/A	114	55.34	Y	SW-SW					2006-2007	2015-2016	N
440	Haywood County	440324	Central Elementary	N	PK,0K,01,02,03,04,05	270	156	1.6	250	92.59	Y	SW-SW					2006-2007	2015-2016	Y
490	Iredell County	490316	Central Elementary	N	PK,0K,01,02,03,04,05	348	N/A	N/A	152	43.68	Y	SW-SW					2006-2007	2015-2016	N
660	Northampton County	660306	Central Elementary	N	PK,0K,01,02,03,04	300	N/A	N/A	238	79.33	Y	SW-SW					2006-2007	2015-2016	Y
680	Orange County	680312	Central Elementary	N	PK,0K,01,02,03,04,05	329	N/A	N/A	211	64.13	Y	SW-SW					2009-2010	2015-2016	N
700	Pasquotank County	700306	Central Elementary	N	0K,01,02,03,04,05	387	N/A	N/A	237	61.24	Y	SW-SW					2005-2006	2015-2016	N
790	Rockingham County	790310	Central Elementary	N	0K,01,02,03,04,05	457	N/A	N/A	240	52.52	Y	SW-SW					2006-2007	2015-2016	Y
840	Stanly County	840310	Central Elementary	N	0K,01,02,03,04,05	604	487	1.6	604	100.00	Y	SW-SW					2006-2007	2015-2016	Y
440	Haywood County	440326	Central Haywood High	N	09,10,11,12	64	33	1.6	53	82.81	N	SW						2015-2016	Y
860	Surry County	860306	Central Middle	N	06,07,08	643	N/A	N/A	461	71.70	N	SW						2015-2016	N
241	Whiteville City	241304	Central Middle	N	06,07,08	519	262	1.6	419	80.73	Y	SW-SW					2002-2003	2015-2016	Y
370	Gates County	370308	Central Middle School	N	06,07,08	404	N/A	N/A	218	53.96	N	SW						2015-2016	N
32K	Central Park School For Child	32K000	Central Park School For Child	Y	0K,01,02,03,04,05,06,07	441	55	1.6	88	19.95	Y	TAS-SW	Charter School	Always SW			2015-2016	2015-2016	Y
970	Wilkes County	970315	Central Wilkes Middle	N	06,07,08	740	N/A	N/A	317	42.84	N	SW						2015-2016	Y
240	Columbus County	240328	Cerro Gordo Elementary	N	PK,0K,01,02,03,04,05,06,07,08	370	196	1.6	314	84.86	Y	SW-SW					2005-2006	2015-2016	Y
240	Columbus County	240332	Chadbourn Elementary	N	PK,0K,01,02,03,04,05	269	241	1.6	269	100.00	Y	SW-SW					2006-2007	2015-2016	Y
240	Columbus County	240330	Chadbourn Middle	N	06,07,08	130	104	1.6	130	100.00	Y	SW-SW					2004-2005	2015-2016	Y
180	Catawba County	180325	Challenger Early College High	N	09,10,11,12,13	361	N/A	N/A	168	46.54	N	SW						2015-2016	N
421	Roanoke Rapids City	421306	Chaloner Middle School	N	06,07,08	739	N/A	N/A	447	60.49	N	SW						2015-2016	N
600	Mecklenburg County	600336	Chantilly Montessori	N	PK,0K,01,02,03,04,05,06	323	N/A	N/A	27	8.36	N	Not Title I						2015-2016	N
360	Gaston County	360352	Chapel Grove Elementary	N	PK,0K,01,02,03,04,05	452	250	1.6	400	88.50	Y	SW-SW					2009-2010	2015-2016	Y
681	Chapel Hill-Carrboro	681308	Chapel Hill High	N	09,10,11,12	1576	N/A	N/A	313	19.86	N	Not Title I						2015-2016	N
310	Duplin County	310324	Charity Middle	N	06,07,08	540	N/A	N/A	383	70.93	Y	SW-SW					2006-2007	2015-2016	N
960	Wayne County	960324	Charles B Aycock High	N	09,10,11,12	1152	N/A	N/A	448	38.89	N	TAS						2015-2016	N
130	Cabarrus County	130325	Charles E Boger Elementary	N	0K,01,02,03,04,05	821	N/A	N/A	311	37.88	N	TAS						2015-2016	N
291	Lexington City	291308	Charles England Elementary School	N	01,02,03,04,05	566	N/A	N/A	482	85.16	Y	SW-SW					2005-2006	2015-2016	N
980	Wilson County	980317	Charles H Darden Middle	N	06,07,08	366	N/A	N/A	339	92.62	Y	SW-SW					2005-2006	2015-2016	N
