"LEACODE"	"LEANAME"	"SCHOOLCODE"	"SCHOOLNAME"	"CHARTERSchool"	"GRADESPAN"	"RESIDENTCHILDREN"	"IDENTIFIEDSTUDENTS"	"MULTIPLIER"	"LOWINCOMESTUDENTS"	"Percent"	"SCHOOLSERVED"	"ELIGIBILITYMODEL"	"ELIGIBILITYJUSTIFICATION"	"PROGRAMJUSTIFICATION"	"SERVEDTASCOUNT"	"SERVEDTASGRADE"	"SERVED1STYEAR"	"YEAR"	"COMMUNITYELIGIBILITY"
11D	The Franklin School of Innovation	11D000	The Franklin School of Innovation	Y	06,07,08,09,10	280	N/A	N/A	98	35.00	Y	TAS-TAS			47	06,07,08,09	2014-2015	2015-2016	N
01D	The Hawbridge School	01D000	The Hawbridge School	Y	05,06,07,08,09,10,11,12	322	N/A	N/A	5	1.55	N	Not Title I						2015-2016	N
32P	The Institute Development Young Leaders	32P000	The Institute Development Young Leaders	Y	0K,01,02,03,04,05,06,07	179	133	1.6	179	100.00	Y	SW-SW					2015-2016	2015-2016	Y
270	Currituck County	270311	The JP Knapp ECH (i)School	N	09,10,11,12,13	248	N/A	N/A	61	24.60	N	Not Title I						2015-2016	N
20A	The Learning Center	20A000	The Learning Center	Y	0K,01,02,03,04,05,06,07,08	166	N/A	N/A	111	66.87	Y	SW-SW					2006-2007	2015-2016	N
45A	The Mountain Community Sch	45A000	The Mountain Community Sch	Y	0K,01,02,03,04,05,06,07,08	181	N/A	N/A	40	22.10	N	Not Title I						2015-2016	N
34H	The North Carolina Leadership Academy	34H000	The North Carolina Leadership Academy	Y	0K,01,02,03,04,05,06,07,08,09,10,11	534	N/A	N/A	37	6.93	N	Not Title I						2015-2016	N
200	Cherokee County	200322	The Oaks Academy	N	06,07,08,09,10,11,12	53	43	1.6	53	100.00	N	SW						2015-2016	Y
320	Durham Public	320314	The School for Creative Studies	N	06,07,08,09,10,11	437	N/A	N/A	209	47.83	N	SW						2015-2016	N
790	Rockingham County	790392	The SCORE Center	N	0K,01,02,03,04,05,06,07,08,09,10,11,12	60	N/A	N/A	41	68.33	N	SW						2015-2016	Y
340	Forsyth County	340531	The Special Children's School	N	PK,0K,01,02,03,04,05	104	38	1.6	61	58.65	N	SW						2015-2016	N
490	Iredell County	490363	Third Creek Elementary	N	PK,0K,01,02,03,04,05	550	N/A	N/A	464	84.36	Y	SW-SW					2006-2007	2015-2016	N
81A	Thomas Jefferson Class Academy	81A000	Thomas Jefferson Class Academy	Y	0K,01,02,03,04,05,06,07,08,09,10,11,12	1303	N/A	N/A	180	13.81	N	Not Title I						2015-2016	N
340	Forsyth County	340406	Thomas Jefferson Middle	N	06,07,08	1278	245	1.6	392	30.67	N	Not Title I						2015-2016	N
600	Mecklenburg County	600553	Thomasboro Academy	N	PK,0K,01,02,03,04,05,06,07,08	808	N/A	N/A	621	76.86	Y	SW-SW					2006-2007	2015-2016	Y
292	Thomasville City	292324	Thomasville High	N	09,10,11,12	665	312	1.6	499	75.04	N	SW						2015-2016	Y
292	Thomasville City	292320	Thomasville Middle	N	06,07,08	587	319	1.6	510	86.88	N	SW						2015-2016	Y
292	Thomasville City	292318	Thomasville Primary	N	PK,0K,01,02,03	875	610	1.6	875	100.00	Y	SW-SW					2004-2005	2015-2016	Y
61J	Thunderbird Prep	61J000	Thunderbird Prep	Y	0K,01,02,03,04,05	392	N/A	N/A	5	1.28	N	Not Title I						2015-2016	N
16B	Tiller School	16B000	Tiller School	Y	0K,01,02,03,04,05	204	N/A	N/A	55	26.96	N	Not Title I						2015-2016	N
920	Wake County	920570	Timber Drive Elementary	N	PK,0K,01,02,03,04,05	674	N/A	N/A	303	44.96	Y	SW-SW					2008-2009	2015-2016	N
980	Wilson County	980390	Toisnot Middle	N	06,07,08	456	N/A	N/A	338	74.12	N	SW						2015-2016	N
960	Wayne County	960388	Tommy's Road Elementary	N	PK,0K,01,02,03,04,05	635	N/A	N/A	407	64.09	Y	SW-SW					2005-2006	2015-2016	N
710	Pender County	710344	Topsail Elementary	N	PK,0K,01,02,03,04,05	540	N/A	N/A	145	26.85	N	Not Title I						2015-2016	N
710	Pender County	710342	Topsail High	N	09,10,11,12	1245	N/A	N/A	314	25.22	N	Not Title I						2015-2016	N
710	Pender County	710346	Topsail Middle	N	06,07,08	1001	N/A	N/A	335	33.47	N	Not Title I						2015-2016	N
92L	Torchlight Academy	92L000	Torchlight Academy	Y	0K,01,02,03,04,05,06	449	247	1.6	395	87.97	Y	SW-SW					2009-2010	2015-2016	Y
600	Mecklenburg County	600557	Torrence Creek Elementary	N	0K,01,02,03,04,05	489	N/A	N/A	60	12.27	N	Not Title I						2015-2016	N
100	Brunswick County	100339	Town Creek Elementary	N	PK,0K,01,02,03,04,05	558	N/A	N/A	332	59.50	Y	SW-SW					2009-2010	2015-2016	N
780	Robeson County	780410	Townsend Middle	N	05,06,07,08	227	131	1.6	210	92.51	Y	SW-SW					2002-2003	2015-2016	Y
230	Cleveland County	230368	Township Three Elementary	N	PK,0K,01,02,03,04,05	652	N/A	N/A	532	81.60	Y	SW-SW					2006-2007	2015-2016	N
530	Lee County	530346	Tramway Elementary	N	0K,01,02,03,04,05	682	N/A	N/A	292	42.82	Y	SW-SW					2009-2010	2015-2016	N
970	Wilkes County	970376	Traphill Elementary	N	PK,0K,01,02,03,04,05	164	N/A	N/A	77	46.95	Y	SW-SW					2006-2007	2015-2016	Y
250	Craven County	250364	Trent Park Elementary	N	0K,01,02,03,04,05	434	N/A	N/A	317	73.04	Y	SW-SW					2006-2007	2015-2016	N
520	Jones County	520336	Trenton Elementary	N	PK,0K,01,02,03,04,05,06	211	N/A	N/A	123	58.29	Y	SW-SW					2006-2007	2015-2016	Y
670	Onslow County	670356	Trexler Middle	N	06,07,08	983	N/A	N/A	386	39.27	N	TAS						2015-2016	N
41F	Triad Math and Science Academy	41F000	Triad Math and Science Academy	Y	0K,01,02,03,04,05,06,07,08,09,10,11,12	868	N/A	N/A	514	59.22	Y	SW-SW					2009-2010	2015-2016	N
410	Guilford County	410578	Triangle Lake Montessori Elem	N	PK,0K,01,02,03,04,05	528	N/A	N/A	249	47.16	Y	SW-SW					2012-2013	2015-2016	N
92T	Triangle Math and Science Academy	92T000	Triangle Math and Science Academy	Y	0K,01,02,03,04,05,06,07,08,09	430	N/A	N/A	40	9.30	N	Not Title I						2015-2016	N
200	Cherokee County	200350	Tri-County Early College High	N	09,10,11,12,13	127	30	1.6	48	37.80	N	TAS						2015-2016	Y
600	Mecklenburg County	600435	Trillium Springs Montessori 	N	PK,0K,01,02,03,04	93	N/A	N/A	12	12.90	N	Not Title I						2015-2016	N
760	Randolph County	760368	Trindale Elementary	N	PK,0K,01,02,03,04,05	280	N/A	N/A	133	47.50	N	SW						2015-2016	N
760	Randolph County	760376	Trinity Elementary	N	0K,01,02,03,04,05	475	N/A	N/A	291	61.26	Y	SW-SW					2010-2011	2015-2016	N
