Experience	year	unit_code	category_cd	pct_tch	lea_pct_tch	lea_pct_prin	st_pct_tch	st_pct_prin
0-3 Years	2016	360LEA	M		0.323	0.327	0.244	0.43
0-3 Years	2016	360LEA	T		0.333	0.327	0.253	0.43
0-3 Years	2016	370LEA	E		0.175	0.8	0.227	0.43
0-3 Years	2016	370LEA	H		0.22	0.8	0.231	0.43
0-3 Years	2016	370LEA	M		0.107	0.8	0.244	0.43
0-3 Years	2016	380LEA	A			0.667	0.227	0.43
0-3 Years	2016	380LEA	E		0.196	0.667	0.227	0.43
0-3 Years	2016	380LEA	H		0.281	0.667	0.231	0.43
0-3 Years	2016	380LEA	M		0.25	0.667	0.244	0.43
0-3 Years	2016	390LEA	A		0.286	0.6	0.227	0.43
0-3 Years	2016	390LEA	E		0.261	0.6	0.227	0.43
0-3 Years	2016	390LEA	H		0.25	0.6	0.231	0.43
0-3 Years	2016	390LEA	M		0.337	0.6	0.244	0.43
0-3 Years	2016	390LEA	T		0.417	0.6	0.253	0.43
0-3 Years	2016	400LEA	E		0.242	1	0.227	0.43
0-3 Years	2016	400LEA	H		0.231	1	0.231	0.43
0-3 Years	2016	400LEA	M		0.318	1	0.244	0.43
0-3 Years	2016	410LEA	A		0.156	0.333	0.227	0.43
0-3 Years	2016	410LEA	E		0.209	0.333	0.227	0.43
0-3 Years	2016	410LEA	H		0.247	0.333	0.231	0.43
0-3 Years	2016	410LEA	I		0.23	0.333	0.255	0.43
0-3 Years	2016	410LEA	M		0.227	0.333	0.244	0.43
0-3 Years	2016	410LEA	T		0.25	0.333	0.253	0.43
0-3 Years	2016	420LEA	E		0.359	0.6	0.227	0.43
0-3 Years	2016	420LEA	H		0.377	0.6	0.231	0.43
0-3 Years	2016	420LEA	M		0.421	0.6	0.244	0.43
0-3 Years	2016	421LEA	E		0.13	0.5	0.227	0.43
0-3 Years	2016	421LEA	H		0.259	0.5	0.231	0.43
0-3 Years	2016	421LEA	M		0.116	0.5	0.244	0.43
0-3 Years	2016	422LEA	E		0.286	1	0.227	0.43
0-3 Years	2016	422LEA	H		0.483	1	0.231	0.43
0-3 Years	2016	422LEA	M		0.526	1	0.244	0.43
0-3 Years	2016	422LEA	T			1	0.253	0.43
0-3 Years	2016	430LEA	E		0.349	0.464	0.227	0.43
0-3 Years	2016	430LEA	H		0.278	0.464	0.231	0.43
0-3 Years	2016	430LEA	M		0.269	0.464	0.244	0.43
0-3 Years	2016	430LEA	T		0.2	0.464	0.253	0.43
0-3 Years	2016	440LEA	E		0.228	0.563	0.227	0.43
0-3 Years	2016	440LEA	H		0.199	0.563	0.231	0.43
0-3 Years	2016	440LEA	M		0.306	0.563	0.244	0.43
0-3 Years	2016	450LEA	E		0.21	0.565	0.227	0.43
0-3 Years	2016	450LEA	H		0.178	0.565	0.231	0.43
0-3 Years	2016	450LEA	M		0.182	0.565	0.244	0.43
0-3 Years	2016	450LEA	T		0.125	0.565	0.253	0.43
0-3 Years	2016	460LEA	E		0.22	0.429	0.227	0.43
0-3 Years	2016	460LEA	H		0.246	0.429	0.231	0.43
0-3 Years	2016	460LEA	M		0.345	0.429	0.244	0.43
0-3 Years	2016	470LEA	E		0.446	0.429	0.227	0.43
0-3 Years	2016	470LEA	H		0.319	0.429	0.231	0.43
0-3 Years	2016	470LEA	M		0.361	0.429	0.244	0.43
0-3 Years	2016	470LEA	T		0.444	0.429	0.253	0.43
0-3 Years	2016	480LEA	A		0.1	0.333	0.227	0.43
0-3 Years	2016	480LEA	E		0.412	0.333	0.227	0.43
0-3 Years	2016	480LEA	H			0.333	0.231	0.43
0-3 Years	2016	480LEA	M			0.333	0.244	0.43
0-3 Years	2016	480LEA	T		0.36	0.333	0.253	0.43
0-3 Years	2016	490LEA	A		0.111	0.444	0.227	0.43
0-3 Years	2016	490LEA	E		0.146	0.444	0.227	0.43
0-3 Years	2016	490LEA	H		0.21	0.444	0.231	0.43
0-3 Years	2016	490LEA	M		0.178	0.444	0.244	0.43
0-3 Years	2016	490LEA	T		0.125	0.444	0.253	0.43
0-3 Years	2016	491LEA	E		0.161	0.625	0.227	0.43
0-3 Years	2016	491LEA	H		0.191	0.625	0.231	0.43
0-3 Years	2016	491LEA	M		0.22	0.625	0.244	0.43
0-3 Years	2016	500LEA	A		0	0.556	0.227	0.43
0-3 Years	2016	500LEA	E		0.308	0.556	0.227	0.43
0-3 Years	2016	500LEA	H		0.238	0.556	0.231	0.43
0-3 Years	2016	500LEA	I		0.329	0.556	0.255	0.43
0-3 Years	2016	500LEA	T		0.357	0.556	0.253	0.43
0-3 Years	2016	510LEA	E		0.215	0.477	0.227	0.43
0-3 Years	2016	510LEA	H		0.186	0.477	0.231	0.43
0-3 Years	2016	510LEA	I		0.089	0.477	0.255	0.43
0-3 Years	2016	510LEA	M		0.255	0.477	0.244	0.43
0-3 Years	2016	510LEA	T		0.091	0.477	0.253	0.43
0-3 Years	2016	520LEA	E		0.207	0.667	0.227	0.43
0-3 Years	2016	520LEA	H		0.143	0.667	0.231	0.43
0-3 Years	2016	520LEA	M		0.154	0.667	0.244	0.43
0-3 Years	2016	530LEA	A		0.4	0.5	0.227	0.43
0-3 Years	2016	530LEA	E		0.321	0.5	0.227	0.43
0-3 Years	2016	530LEA	H		0.374	0.5	0.231	0.43
0-3 Years	2016	530LEA	M		0.451	0.5	0.244	0.43
0-3 Years	2016	530LEA	T		0.273	0.5	0.253	0.43
0-3 Years	2016	540LEA	A		0.111	0.706	0.227	0.43
0-3 Years	2016	540LEA	E		0.227	0.706	0.227	0.43
0-3 Years	2016	540LEA	H		0.254	0.706	0.231	0.43
0-3 Years	2016	540LEA	I		0.2	0.706	0.255	0.43
0-3 Years	2016	540LEA	M		0.373	0.706	0.244	0.43
0-3 Years	2016	550LEA	A		0.091	0.348	0.227	0.43
0-3 Years	2016	550LEA	E		0.17	0.348	0.227	0.43
0-3 Years	2016	550LEA	H		0.192	0.348	0.231	0.43
0-3 Years	2016	550LEA	M		0.15	0.348	0.244	0.43
0-3 Years	2016	550LEA	T		0.333	0.348	0.253	0.43
0-3 Years	2016	560LEA	A		0.267	0.364	0.227	0.43
0-3 Years	2016	560LEA	E		0.162	0.364	0.227	0.43
0-3 Years	2016	560LEA	H		0.095	0.364	0.231	0.43
0-3 Years	2016	560LEA	M		0.232	0.364	0.244	0.43
0-3 Years	2016	560LEA	T		0.455	0.364	0.253	0.43
0-3 Years	2016	570LEA	E		0.11	0.667	0.227	0.43
0-3 Years	2016	570LEA	H		0.179	0.667	0.231	0.43
0-3 Years	2016	570LEA	M		0.205	0.667	0.244	0.43
0-3 Years	2016	580LEA	E		0.091	0.2	0.227	0.43
0-3 Years	2016	580LEA	H		0.179	0.2	0.231	0.43
0-3 Years	2016	580LEA	M		0.075	0.2	0.244	0.43
0-3 Years	2016	590LEA	E		0.197	0.308	0.227	0.43
0-3 Years	2016	590LEA	H		0.134	0.308	0.231	0.43
0-3 Years	2016	590LEA	I			0.308	0.255	0.43
0-3 Years	2016	590LEA	M		0.163	0.308	0.244	0.43
0-3 Years	2016	590LEA	T		0	0.308	0.253	0.43
0-3 Years	2016	600LEA	A		0.319	0.381	0.227	0.43
0-3 Years	2016	600LEA	E		0.286	0.381	0.227	0.43
0-3 Years	2016	600LEA	H		0.318	0.381	0.231	0.43
0-3 Years	2016	600LEA	I		0.356	0.381	0.255	0.43
0-3 Years	2016	600LEA	M		0.348	0.381	0.244	0.43
0-3 Years	2016	600LEA	T		0.4	0.381	0.253	0.43
0-3 Years	2016	610LEA	E		0.133	0.714	0.227	0.43
0-3 Years	2016	610LEA	H		0.125	0.714	0.231	0.43
0-3 Years	2016	610LEA	M		0.179	0.714	0.244	0.43
0-3 Years	2016	620LEA	E		0.206	0.545	0.227	0.43
0-3 Years	2016	620LEA	H		0.247	0.545	0.231	0.43
0-3 Years	2016	620LEA	M		0.279	0.545	0.244	0.43
0-3 Years	2016	620LEA	T		0.125	0.545	0.253	0.43
0-3 Years	2016	630LEA	E		0.244	0.435	0.227	0.43
0-3 Years	2016	630LEA	H		0.258	0.435	0.231	0.43
0-3 Years	2016	630LEA	I		0.26	0.435	0.255	0.43
0-3 Years	2016	630LEA	M		0.23	0.435	0.244	0.43
0-3 Years	2016	630LEA	T		0.125	0.435	0.253	0.43
0-3 Years	2016	640LEA	E		0.236	0.536	0.227	0.43
0-3 Years	2016	640LEA	H		0.192	0.536	0.231	0.43
0-3 Years	2016	640LEA	M		0.273	0.536	0.244	0.43
0-3 Years	2016	640LEA	T		0.375	0.536	0.253	0.43
0-3 Years	2016	650LEA	E		0.206	0.333	0.227	0.43
0-3 Years	2016	650LEA	H		0.181	0.333	0.231	0.43
0-3 Years	2016	650LEA	I		0	0.333	0.255	0.43
0-3 Years	2016	650LEA	M		0.207	0.333	0.244	0.43
0-3 Years	2016	650LEA	T		0	0.333	0.253	0.43
0-3 Years	2016	660LEA	A			0.5	0.227	0.43
0-3 Years	2016	660LEA	E		0.355	0.5	0.227	0.43
0-3 Years	2016	660LEA	H		0.421	0.5	0.231	0.43
0-3 Years	2016	660LEA	M		0.389	0.5	0.244	0.43
0-3 Years	2016	660LEA	T			0.5	0.253	0.43
0-3 Years	2016	670LEA	E		0.318	0.314	0.227	0.43
0-3 Years	2016	670LEA	H		0.288	0.314	0.231	0.43
0-3 Years	2016	670LEA	M		0.331	0.314	0.244	0.43
0-3 Years	2016	680LEA	E		0.215	0.385	0.227	0.43
0-3 Years	2016	680LEA	H		0.188	0.385	0.231	0.43
0-3 Years	2016	680LEA	M		0.217	0.385	0.244	0.43
0-3 Years	2016	680LEA	T			0.385	0.253	0.43
0-3 Years	2016	681LEA	A		0.067	0.4	0.227	0.43
0-3 Years	2016	681LEA	E		0.288	0.4	0.227	0.43
0-3 Years	2016	681LEA	H		0.208	0.4	0.231	0.43
0-3 Years	2016	681LEA	M		0.205	0.4	0.244	0.43
0-3 Years	2016	690LEA	E		0.238	1	0.227	0.43
0-3 Years	2016	690LEA	H		0.195	1	0.231	0.43
0-3 Years	2016	690LEA	M		0.273	1	0.244	0.43
0-3 Years	2016	700LEA	E		0.234	0.5	0.227	0.43
0-3 Years	2016	700LEA	H		0.278	0.5	0.231	0.43
0-3 Years	2016	700LEA	M		0.213	0.5	0.244	0.43
0-3 Years	2016	700LEA	T		0.2	0.5	0.253	0.43
0-3 Years	2016	710LEA	A			0.375	0.227	0.43
0-3 Years	2016	710LEA	E		0.28	0.375	0.227	0.43
0-3 Years	2016	710LEA	H		0.23	0.375	0.231	0.43
0-3 Years	2016	710LEA	I		0.121	0.375	0.255	0.43
