year	unit_code	category_cd	total_expense_num	salary_expense_pct	benefits_expense_pct	services_expense_pct	supplies_expense_pct	instruct_equip_exp_pct	other_expense_pct	federal_perpupil_num	local_perpupil_num	state_perpupil_num	lea_total_expense_num	lea_salary_expense_pct	lea_benefits_expense_pct	lea_services_expense_pct	lea_supplies_expense_pct	lea_instruct_equip_exp_pct	lea_other_expense_pct	lea_federal_perpupil_num	lea_local_perpupil_num	lea_state_perpupil_num	st_total_expense_num	st_salary_expense_pct	st_benefits_expense_pct	st_services_expense_pct	st_supplies_expense_pct	st_instruct_equip_exp_pct	st_other_expense_pct	st_federal_perpupil_num	st_local_perpupil_num	st_state_perpupil_num	building_expense_pct	lea_building_expense_pct	st_building_expense_pct
2013	132328	E											9149.32	0.588	0.199	0.129	0.079	0.005	0	1530.1	2295.35	5323.87	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	132308	E											9149.32	0.588	0.199	0.129	0.079	0.005	0	1530.1	2295.35	5323.87	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	132336	E											9149.32	0.588	0.199	0.129	0.079	0.005	0	1530.1	2295.35	5323.87	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	132304	H											9149.32	0.588	0.199	0.129	0.079	0.005	0	1530.1	2295.35	5323.87	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	132329	M											9149.32	0.588	0.199	0.129	0.079	0.005	0	1530.1	2295.35	5323.87	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	132330	M											9149.32	0.588	0.199	0.129	0.079	0.005	0	1530.1	2295.35	5323.87	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	132332	E											9149.32	0.588	0.199	0.129	0.079	0.005	0	1530.1	2295.35	5323.87	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	130345	E											7560.72	0.612	0.205	0.059	0.109	0.015	0	731.63	1871.76	4957.33	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	130332	H											7560.72	0.612	0.205	0.059	0.109	0.015	0	731.63	1871.76	4957.33	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	130330	E											7560.72	0.612	0.205	0.059	0.109	0.015	0	731.63	1871.76	4957.33	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
