LEA,LEAname,SchoolCode,SchoolName,OfficialSchoolName,GradeLevelCurrent,SchoolType,SchoolProgramType,SchoolYear
110,Buncombe County Schools,110308,Barnardsville Elementary,Barnardsville Elementary,KG:01:02:03:04,Regular School,None,2018-19
110,Buncombe County Schools,110318,Black Mountain Elementary,Black Mountain Elementary,04:05,Regular School,None,2018-19
110,Buncombe County Schools,110320,Black Mountain Primary,Black Mountain Primary,KG:01:02:03,Regular School,None,2018-19
110,Buncombe County Schools,110322,Early College,Buncombe County Early College High School,09:10:11:12:13,Regular School,Early College,2018-19
110,Buncombe County Schools,110323,Middle College,Buncombe County Middle College High School,11:12:13,Regular School,Cooperative Innovative High School,2018-19
110,Buncombe County Schools,110324,Candler Elementary,Candler Elementary,KG:01:02:03:04,Regular School,None,2018-19
110,Buncombe County Schools,110326,Cane Creek Middle,Cane Creek Middle,06:07:08,Regular School,None,2018-19
110,Buncombe County Schools,110332,Bell Elementary,Charles C Bell Elementary,KG:01:02:03:04:05,Regular School,None,2018-19
110,Buncombe County Schools,110336,Owen High,Charles D Owen High,09:10:11:12,Regular School,None,2018-19
110,Buncombe County Schools,110338,Owen Middle,Charles D Owen Middle,06:07:08,Regular School,None,2018-19
110,Buncombe County Schools,110340,Erwin High,Clyde A Erwin High,09:10:11:12,Regular School,None,2018-19
110,Buncombe County Schools,110342,Erwin Middle,Clyde A Erwin Middle,07:08,Regular School,None,2018-19
110,Buncombe County Schools,110348,Emma Elementary,Emma Elementary,KG:01:02:03:04,Regular School,None,2018-19
110,Buncombe County Schools,110352,Enka High,Enka High,09:10:11:12,Regular School,None,2018-19
110,Buncombe County Schools,110356,Fairview Elementary,Fairview Elementary,KG:01:02:03:04:05,Regular School,None,2018-19
110,Buncombe County Schools,110366,Glen Arden Elementary,Glen Arden Elementary,KG:01:02:03:04,Regular School,None,2018-19
110,Buncombe County Schools,110368,Haw Creek Elementary,Haw Creek Elementary,KG:01:02:03:04:05,Regular School,None,2018-19
110,Buncombe County Schools,110370,Hominy Valley Elementary,Hominy Valley Elementary,KG:01:02:03:04,Regular School,None,2018-19
110,Buncombe County Schools,110372,Johnston Elementary,Johnston Elementary,KG:01:02:03:04,Regular School,None,2018-19
110,Buncombe County Schools,110376,Leicester Elementary,Leicester Elementary,KG:01:02:03:04,Regular School,None,2018-19
110,Buncombe County Schools,110379,North Buncombe Elementary,North Buncombe Elementary,KG:01:02:03:04,Regular School,None,2018-19
110,Buncombe County Schools,110380,North Buncombe High,North Buncombe High,09:10:11:12,Regular School,None,2018-19
110,Buncombe County Schools,110381,North Buncombe Middle,North Buncombe Middle,06:07:08,Regular School,None,2018-19
110,Buncombe County Schools,110382,North Windy Ridge Intermediate,North Windy Ridge Intermediate School,05:06,Regular School,None,2018-19
110,Buncombe County Schools,110384,Oakley Elementary,Oakley Elementary,KG:01:02:03:04:05,Regular School,None,2018-19
110,Buncombe County Schools,110388,Pisgah Elementary,Pisgah Elementary,KG:01:02:03:04,Regular School,None,2018-19
110,Buncombe County Schools,110401,Enka Middle,Enka Middle,07:08,Regular School,None,2018-19
110,Buncombe County Schools,110408,Sand Hill-Venable Elem,Sand Hill-Venable Elementary,KG:01:02:03:04,Regular School,None,2018-19
110,Buncombe County Schools,110410,Avery's Creek Elementary,Avery's Creek Elementary,KG:01:02:03:04,Regular School,None,2018-19
110,Buncombe County Schools,110412,Williams Elementary,W D Williams Elementary,KG:01:02:03:04:05,Regular School,None,2018-19
110,Buncombe County Schools,110416,Roberson High,T C Roberson High,09:10:11:12,Regular School,None,2018-19
110,Buncombe County Schools,110420,Valley Springs Middle,Valley Springs Middle,06:07:08,Regular School,None,2018-19
110,Buncombe County Schools,110422,Estes Elementary,William W Estes Elementary,KG:01:02:03:04:05,Regular School,None,2018-19
110,Buncombe County Schools,110425,Enka Intermediate,Enka Intermediate School,05:06,Regular School,None,2018-19
110,Buncombe County Schools,110428,Weaverville Elementary,Weaverville Elementary,02:03:04,Regular School,None,2018-19
110,Buncombe County Schools,110432,Weaverville Primary,Weaverville Primary,KG:01,Regular School,None,2018-19
110,Buncombe County Schools,110436,West Buncombe Elementary,West Buncombe Elementary,KG:01:02:03:04,Regular School,None,2018-19
110,Buncombe County Schools,110444,Woodfin Elementary,Woodfin Elementary,KG:01:02:03:04:05,Regular School,None,2018-19
110,Buncombe County Schools,110450,Koontz Intermediate,Charles T. Koontz Intermediate School,05:06,Regular School,None,2018-19
110,Buncombe County Schools,110451,Eblen Intermediate,Joe P. Eblen Intermediate School,05:06,Regular School,None,2018-19
110,Buncombe County Schools,110500,Nesbitt Discovery Academy,Martin L Nesbitt Jr Discovery Academy,09:10:11:12,Regular School,Cooperative Innovative High School,2018-19
111,Asheville City Schools,111302,Asheville High,Asheville High,09:10:11:12,Regular School,None,2018-19
111,Asheville City Schools,111304,Hall Fletcher Elementary,Hall Fletcher Elementary,P3:PK:KG:01:02:03:04:05,Regular School,Magnet,2018-19
111,Asheville City Schools,111306,Isaac Dickson Elementary,Isaac Dickson Elementary,P3:PK:KG:01:02:03:04:05,Regular School,Magnet,2018-19
111,Asheville City Schools,111307,Asheville Primary,Asheville Primary School,P3:PK:KG:01:02:03,Regular School,Magnet,2018-19
111,Asheville City Schools,111312,Claxton Elementary,Claxton Elementary,KG:01:02:03:04:05,Regular School,Magnet,2018-19
111,Asheville City Schools,111332,Ira B Jones Elementary,Ira B Jones Elementary,P3:PK:KG:01:02:03:04:05,Regular School,Magnet,2018-19
111,Asheville City Schools,111356,Asheville Middle,Asheville Middle,06:07:08,Regular School,None,2018-19
111,Asheville City Schools,111360,Vance Elementary,Vance Elementary,KG:01:02:03:04:05,Regular School,Magnet,2018-19
111,Asheville City Schools,111369,Montford North Star Academy,Montford North Star Academy,06:07,Regular School,None,2018-19
111,Asheville City Schools,111700,School of Inquiry and Life Sciences,School of Inquiry and Life Sciences at Asheville,09:10:11:12,Regular School,Cooperative Innovative High School,2018-19
120,Burke County Schools,120308,Hallyburton Academy,Hallyburton Academy,06:07:08:09:10:11:12,Alternative Education,None,2018-19
120,Burke County Schools,120310,Burke Middle College,Burke Middle College High School,11:12,Regular School,Cooperative Innovative High School,2018-19
120,Burke County Schools,120312,Drexel Elementary,Drexel Elementary,P0:P1:P2:P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
120,Burke County Schools,120314,East Burke High,East Burke High,09:10:11:12,Regular School,None,2018-19
120,Burke County Schools,120315,East Burke Middle,East Burke Middle,06:07:08,Regular School,None,2018-19
120,Burke County Schools,120316,Forest Hill Elementary,Forest Hill Elementary,P0:P1:P2:P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
120,Burke County Schools,120318,Freedom High,Freedom High,09:10:11:12,Regular School,None,2018-19
120,Burke County Schools,120320,George Hildebrand Elementary,George Hildebrand Elementary,P0:P1:P2:P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
120,Burke County Schools,120324,Glen Alpine Elementary,Glen Alpine Elementary,P0:P1:P2:P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
120,Burke County Schools,120334,Heritage Middle,Heritage Middle,06:07:08,Regular School,None,2018-19
120,Burke County Schools,120338,Hildebran Elementary,Hildebran Elementary,P0:P1:P2:P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
120,Burke County Schools,120340,Hillcrest Elementary,Hillcrest Elementary,P0:P1:P2:P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
120,Burke County Schools,120344,Icard Elementary,Icard Elementary,P0:P1:P2:P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
120,Burke County Schools,120346,Jimmy C Draughn High School,Jimmy C Draughn High School,09:10:11:12,Regular School,None,2018-19
120,Burke County Schools,120350,Liberty Middle,Liberty Middle,06:07:08,Regular School,None,2018-19
120,Burke County Schools,120352,North Liberty,North Liberty,P0:P1:P2:P3:PK:KG:01:02:03:04:05:06:07:08:09:10:11:12,Exceptional Children,None,2018-19
120,Burke County Schools,120354,Mountain View Elementary,Mountain View Elementary School,P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
120,Burke County Schools,120360,Mull Elementary,Mull Elementary,P0:P1:P2:P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
120,Burke County Schools,120364,Oak Hill Elementary,Oak Hill Elementary,P0:P1:P2:P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
120,Burke County Schools,120368,Ray Childers Elementary,Ray Childers Elementary,P0:P1:P2:P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
120,Burke County Schools,120370,Robert L. Patton High School,Robert L. Patton High School,09:10:11:12,Regular School,None,2018-19
120,Burke County Schools,120374,Salem Elementary,Salem Elementary,P0:P1:P2:P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
120,Burke County Schools,120376,Table Rock Middle,Table Rock Middle,06:07:08,Regular School,None,2018-19
120,Burke County Schools,120380,Valdese Elementary,Valdese Elementary,P0:P1:P2:P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
120,Burke County Schools,120386,W A Young Elementary,W A Young Elementary,P0:P1:P2:P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
120,Burke County Schools,120390,Walter R Johnson Middle,Walter R Johnson Middle,06:07:08,Regular School,None,2018-19
130,Cabarrus County Schools,130304,A T Allen Elementary,A T Allen Elementary,KG:01:02:03:04:05,Regular School,None,2018-19
130,Cabarrus County Schools,130307,Cox Mill High School,Cox Mill High School,09:10:11:12,Regular School,None,2018-19
130,Cabarrus County Schools,130308,Bethel Elementary,Bethel Elementary,KG:01:02:03:04:05,Regular School,None,2018-19
130,Cabarrus County Schools,130309,Beverly Hills Elementary,Beverly Hills Elementary,KG:01:02:03:04:05,Regular School,None,2018-19
130,Cabarrus County Schools,130310,Central Cabarrus High,Central Cabarrus High,09:10:11:12,Regular School,Magnet,2018-19
130,Cabarrus County Schools,130311,Coltrane-Webb Elementary,Coltrane-Webb Elementary,KG:01:02:03:04:05,Regular School,Magnet,2018-19
