"LEA Code"	"LEA Name"	"School Code"	"School Name"	"Charter School"	Current Grades	"Total Enrollment"	"# Identified Students"	Multiplier	"# Low Income Students"	"Percent Low Income Students"	"School Served"	"Eligibility Model"	"Eligibility Justification"	"Program Justification"	"# Students Served TAS"	"Grades Served TAS"	"Served 1st Year"	"School Year"
160	Carteret County Public Schools	160310	Beaufort Middle	N	06,07,08	245	N/A	N/A	130	53.06	N	SW	 	 		 	 	2016-2017
260	Cumberland County Schools	260312	Beaver Dam Elementary	N	P3,0K,01,02,03,04,05	97	N/A	N/A	62	63.92	Y	SW-SW	 	 		 	2006-2007	2016-2017
920	Wake County Schools	920332	Beaverdam Elementary	N	PK,0K,01,02,03,04,05	638	N/A	N/A	406	63.64	Y	SW-SW	 	 		 	2016-2017	2016-2017
980	Wilson County Schools	980318	Beddingfield High	N	09,10,11,12	796	N/A	N/A	575	72.24	N	SW	 	 		 	 	2016-2017
995	Yancey County Schools	995308	Bee Log Elementary	N	0K,01,02,03,04,05	51	N/A	N/A	26	50.98	Y	SW-SW	 	 		 	2006-2007	2016-2017
110	Buncombe County Schools	110332	Bell Elementary	N	0K,01,02,03,04,05	273	N/A	N/A	156	57.14	Y	SW-SW	 	 		 	2006-2007	2016-2017
670	Onslow County Schools	670304	Bell Fork Elementary	N	0K,01,02,03,04,05	630	N/A	N/A	422	66.98	Y	SW-SW	 	 		 	2006-2007	2016-2017
360	Gaston County Schools	360320	Belmont Central Elementary	N	02,03,04,05	744	N/A	N/A	229	30.78	N	Not Title I	 	 		 	 	2016-2017
421	Roanoke Rapids City Schools	421304	Belmont Elementary School	N	PK,0K,01,02,03,04,05	653	N/A	N/A	577	88.36	Y	SW-SW	 	 		 	2009-2010	2016-2017
360	Gaston County Schools	360324	Belmont Middle	N	06,07,08	691	N/A	N/A	252	36.47	N	TAS	 	 		 	 	2016-2017
100	Brunswick County Schools	100302	Belville Elementary	N	0K,01,02,03,04,05	800	N/A	N/A	417	52.13	Y	SW-SW	 	 		 	2002-2003	2016-2017
740	Pitt County Schools	740310	Belvoir Elementary	N	PK,0K,01,02,03,04,05	487	487	1.6	487	100	Y	SW-SW	 	 		 	2004-2005	2016-2017
250	Craven County Schools	250306	Ben D Quinn Elementary	N	PK,0K,01,02,03,04,05	481	N/A	N/A	244	50.73	Y	SW-SW	 	 		 	2006-2007	2016-2017
410	Guilford County Schools	410544	Ben L. Smith High School	N	09,10,11,12	1264	N/A	N/A	676	53.48	Y	SW-SW	 	 		 	2010-2011	2016-2017
430	Harnett County Schools	430312	Benhaven Elementary	N	PK,0K,01,02,03,04,05	492	N/A	N/A	356	72.36	Y	SW-SW	 	 		 	2005-2006	2016-2017
260	Cumberland County Schools	260414	Benjamin J Martin Elementary	N	PK,0K,01,02,03,04,05	589	348	1.6	557	94.57	Y	SW-SW	 	 		 	2006-2007	2016-2017
190	Chatham County Schools	190304	Bennett School	N	PK,0K,01,02,03,04,05,06,07,08	233	N/A	N/A	84	36.05	N	TAS	 	 		 	 	2016-2017
510	Johnston County Schools	510308	Benson Elementary	N	PK,0K,01,02,03,04	629	N/A	N/A	439	69.79	Y	SW-SW	 	 		 	2006-2007	2016-2017
510	Johnston County Schools	510310	Benson Middle	N	05,06,07,08	449	N/A	N/A	294	65.48	Y	SW-SW	 	 		 	2012-2013	2016-2017
900	Union County Public Schools	900304	Benton Heights Elementary	N	PK,0K,01,02,03,04,05	608	N/A	N/A	538	88.49	Y	SW-SW	 	 		 	2006-2007	2016-2017
640	Nash-Rocky Mount Schools	640308	Benvenue Elementary	N	0K,01,02,03,04,05	710	710	1.6	710	100	Y	SW-SW	 	 		 	2006-2007	2016-2017
600	Charlotte-Mecklenburg Schools	600369	Berewick Elementary	N	PK,0K,01,02,03,04,05	688	N/A	N/A	182	26.45	N	Not Title I	 	 		 	 	2016-2017
600	Charlotte-Mecklenburg Schools	600319	Berryhill School	N	PK,0K,01,02,03,04,05,06,07,08	728	N/A	N/A	418	57.42	Y	SW-SW	 	 		 	2009-2010	2016-2017
080	Bertie County Schools	080311	Bertie Early College High	N	09,10,11,12,13	171	N/A	N/A	171	100	Y	SW-SW	 	 		 	2014-2015	2016-2017
080	Bertie County Schools	080312	Bertie High	N	09,10,11,12	479	N/A	N/A	479	100	Y	SW-SW	 	 		 	2009-2010	2016-2017
080	Bertie County Schools	080314	Bertie Middle	N	06,07,08	554	N/A	N/A	554	100	Y	SW-SW	 	 		 	2006-2007	2016-2017
080	Bertie County Schools	080700	Bertie STEM High	N	09,10,11,12	120	N/A	N/A	120	100	Y	SW-SW	 	 		 	2014-2015	2016-2017
360	Gaston County Schools	360332	Bessemer City Central Elem	N	03,04,05	416	287	1.6	416	100	Y	SW-SW	 	 		 	2005-2006	2016-2017
360	Gaston County Schools	360336	Bessemer City High	N	09,10,11,12	714	N/A	N/A	484	67.79	N	SW	 	 		 	 	2016-2017
360	Gaston County Schools	360436	Bessemer City Middle	N	06,07,08	555	360	1.6	555	100	Y	SW-SW	 	 		 	2010-2011	2016-2017
360	Gaston County Schools	360338	Bessemer City Primary	N	PK,0K,01,02	476	329	1.6	476	100	Y	SW-SW	 	 		 	2005-2006	2016-2017
410	Guilford County Schools	410328	Bessemer Elementary	N	PK,0K,01,02,03,04,05	526	N/A	N/A	377	71.67	Y	SW-SW	 	 		 	2002-2003	2016-2017
79A	Bethany Community Middle	79A000	Bethany Community Middle	Y	06,07,08	271	N/A	N/A	71	26.2	N	Not Title I	 	 		 	 	2016-2017
790	Rockingham County Schools	790302	Bethany Elementary	N	PK,0K,01,02,03,04,05	436	112	1.6	179	41.06	N	SW	 	 		 	 	2016-2017
130	Cabarrus County Schools	130308	Bethel Elementary	N	0K,01,02,03,04,05	659	N/A	N/A	298	45.22	N	SW	 	 		 	 	2016-2017
440	Haywood County Schools	440314	Bethel Elementary	N	0K,01,02,03,04,05	501	N/A	N/A	289	57.68	Y	SW-SW	 	 		 	2006-2007	2016-2017
